report_type,title,period_start,period_end,google_doc_url,excel_file_url,source_article_count,generated_at,owner,visibility,status,notes
weekly,2026년 6월 4주차 ICT 동향 보고서,2026-06-22,2026-06-28,https://docs.google.com/document/d/1315EoXpg5fqime4_Ib_Q_bq-nEOSfHRlIoey6XRUA_8/edit?usp=drivesdk,https://docs.google.com/spreadsheets/d/1sEgS1W0fjnTHnjN1c37QvoCa3wrpMQIn/edit?usp=drivesdk&ouid=115840160158812816037&rtpof=true&sd=true,0,2026-06-22,표준화본부,tta_internal,published,Drive 폴더 기준 최신 주간 보고서
weekly,2026년 6월 3주차 ICT 동향 보고서,2026-06-15,2026-06-21,https://docs.google.com/document/d/1jJMo9OloRYRysa_jyZPCyNJENhcT9B_ff4c5XxOBQAc/edit?usp=drivesdk,https://docs.google.com/spreadsheets/d/1Or37kyt3DG0KQQJzINdBqP-IcI1IqjhX/edit?usp=drivesdk&ouid=115840160158812816037&rtpof=true&sd=true,0,2026-06-15,표준화본부,tta_internal,published,이전 주차
monthly,2026년 6월 ICT 종합 보고서,2026-06-01,2026-06-30,https://drive.google.com/drive/u/0/folders/15YV7XuiWW2DJiY_ur_ZweHphSvciRjzT,https://docs.google.com/spreadsheets/d/1sEgS1W0fjnTHnjN1c37QvoCa3wrpMQIn/edit?usp=drivesdk&ouid=115840160158812816037&rtpof=true&sd=true,0,2026-06-22,표준화본부,tta_internal,draft,월간 보고서 파일 생성 전까지 폴더로 연결
excel,주간 뉴스 분석 Excel W26,2026-06-22,2026-06-28,,https://docs.google.com/spreadsheets/d/1sEgS1W0fjnTHnjN1c37QvoCa3wrpMQIn/edit?usp=drivesdk&ouid=115840160158812816037&rtpof=true&sd=true,0,2026-06-22,표준화본부,tta_internal,published,news_analysis_2026_W26.xlsx
